Epoca,Erro
117,1.0415768672526342
118,1.0412936923228762
119,1.0410088188478228
120,1.0407222019840756
121,1.0404337964694759
122,1.0401435566150121
123,1.0398514362968074
124,1.0395573889481837
125,1.0392613675517997
126,1.0389633246318735
127,1.0386632122464803
128,1.0383609819799342
129,1.038056584935251
130,1.0377499717266958
131,1.0374410924724191
132,1.0371298967871794
133,1.0368163337751573
134,1.0365003520228677
135,1.0361818995921626
136,1.0358609240133405
137,1.0355373722783563
138,1.0352111908341401
139,1.0348823255760256
140,1.0345507218412975
141,1.0342163244028566
142,1.0338790774630102
143,1.033538924647394
144,1.033195808999025
145,1.0328496729725003
146,1.0325004584283377
147,1.0321481066274705
148,1.0317925582258978
149,1.0314337532695044
150,1.0310716311890458
151,1.0307061307953154
152,1.030337190274496
153,1.0299647471837028
154,1.029588738446727
155,1.0292091003499872
156,1.0288257685386968
157,1.0284386780132553
158,1.0280477631258713
159,1.0276529575774287
160,1.0272541944145983
161,1.026851406027215
162,1.0264445241459148
163,1.026033479840057
164,1.0256182035159263
165,1.0251986249152374
166,1.02477467311394
167,1.024346276521344
168,1.023913362879568
169,1.023475859263325
170,1.0230336920800536
171,1.0225867870704057
172,1.0221350693090994
173,1.0216784632061504
174,1.0212168925084866
175,1.020750280301965
176,1.0202785490137884
177,1.019801620415345
178,1.0193194156254708
179,1.0188318551141509
180,1.0183388587066642
181,1.0178403455881855
182,1.0173362343088501
183,1.0168264427892946
184,1.0163108883266736
185,1.015789487601174
186,1.0152621566830191
187,1.014728811039983
188,1.0141893655454148
189,1.0136437344867815
190,1.013091831574732
191,1.0125335699526965
192,1.011968862207012
193,1.0113976203775907
194,1.010819755969127
195,1.0102351799628462
196,1.0096438028287986
197,1.009045534538697
198,1.0084402845793015
199,1.0078279619663393
200,1.007208475258972
201,1.006581732574795
202,1.0059476416053652
203,1.005306109632259
204,1.0046570435436408
205,1.0040003498513415
206,1.0033359347084359
207,1.0026637039272992
208,1.0019835629981404
209,1.0012954171079862
210,1.0005991711601054
211,0.9998947297938532
212,0.9991819974049123
213,0.9984608781659103
214,0.997731276047389
215,0.9969930948390959
216,0.9962462381715738
217,0.9954906095380139
218,0.99472611231634
219,0.9939526497914899
220,0.993170125177853
221,0.9923784416418315
222,0.9915775023244722
223,0.9907672103641352
224,0.9899474689191442
225,0.989118181190374
226,0.9882792504437209
227,0.9874305800324032
228,0.9865720734190344
229,0.9857036341974095
230,0.9848251661139427
231,0.9839365730886972
232,0.9830377592359306
233,0.9821286288840996
234,0.9812090865952436
235,0.9802790371836798
236,0.9793383857339303
237,0.9783870376178083
238,0.9774248985105807
239,0.9764518744061264
240,0.9754678716310102
241,0.9744727968573852
242,0.973466557114633
243,0.9724490597996692
244,0.971420212685804
245,0.9703799239300893
246,0.969328102079045
247,0.9682646560726849
248,0.9671894952467419
249,0.9661025293330086
250,0.9650036684576931
251,0.963892823137704
252,0.9627699042747729
253,0.9616348231473212
254,0.9604874913999818
255,0.9593278210306947
256,0.9581557243752788
257,0.9569711140894053
258,0.9557739031278868
259,0.9545640047212027
260,0.9533413323491864
261,0.9521057997117995
262,0.9508573206969271
263,0.9495958093451261
264,0.9483211798112714
